StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly,Salary Package,Cluster
8723,Female,Kolkata,Tier1,CS,AI,No,No,9.65,9.2,10.0,9.59,9.88,9.75,10.0,9.89,9.65,87.0,3,4,1.0,3,1,81.9,3.6,,65.3,0,High,1,0,18.03,0
8724,Male,Mumbai,Tier3,Mechanical,DataScience,Yes,No,5.09,4.58,6.03,5.11,5.77,5.63,4.72,5.24,5.28,97.1,2,2,1.0,1,1,77.9,3.8,47.7,51.1,1,Low,1,0,5.07,3
8725,Female,Chennai,Tier2,ECE,Embedded,Yes,No,5.45,5.42,5.66,5.63,5.6,5.79,5.19,5.31,5.44,59.1,1,1,1.0,0,0,49.7,2.0,26.8,27.4,0,Low,0,0,0.0,1
8726,Male,Ahmedabad,Tier2,Civil,Networking,Yes,No,6.94,7.22,6.63,6.8,6.7,6.81,6.6,6.32,6.93,66.2,1,2,1.0,1,1,61.6,2.2,60.0,55.7,1,Mid,1,0,8.53,3
8727,Female,Kolkata,Tier1,ECE,Embedded,No,No,5.08,5.74,5.34,5.2,5.97,5.12,5.57,5.24,5.37,71.7,1,2,2.0,2,1,79.7,2.9,68.2,49.4,1,Low,1,0,4.82,3
8728,Female,Kolkata,Tier1,EE,Embedded,Yes,No,9.48,9.95,10.0,9.93,10.0,10.0,10.0,10.0,9.87,90.7,2,3,,2,2,72.3,5.0,,84.5,0,High,1,0,18.64,0
8729,Female,Kolkata,Tier2,CS,DataScience,No,No,4.97,5.42,5.41,5.34,5.1,5.29,5.65,5.28,5.44,81.4,2,2,1.0,2,0,68.9,2.9,54.6,44.5,0,Low,1,0,3.92,1
8730,Female,Delhi,Tier1,CS,DataScience,Yes,No,8.22,8.39,7.89,8.52,8.13,8.06,7.75,7.98,7.95,100.0,2,3,,2,1,95.3,5.0,84.5,69.5,1,Mid,1,0,8.83,2
8731,Female,Jaipur,Tier1,CS,AI,No,No,8.88,9.45,9.21,9.0,8.95,9.84,9.53,9.61,9.14,92.6,1,4,,4,1,84.9,5.0,63.4,81.3,1,High,1,0,25.43,0
8732,Male,Chennai,Tier2,Mechanical,DataScience,Yes,No,7.19,6.95,7.17,7.12,6.55,6.94,7.02,6.75,6.87,81.0,1,2,2.0,1,1,54.5,2.8,49.7,49.1,0,Mid,1,0,12.14,3
8733,Female,Hyderabad,Tier1,EE,AI,Yes,No,9.37,9.37,9.7,9.65,9.87,10.0,9.69,9.99,9.86,84.1,2,3,,3,2,,4.3,51.5,88.3,1,High,1,0,25.57,0
8734,Male,Mumbai,Tier2,ECE,DataScience,No,Yes,6.44,7.17,6.29,6.47,6.7,6.32,6.74,6.01,6.45,70.7,1,1,2.0,2,1,75.7,3.2,45.0,61.9,0,Low,0,0,0.0,3
8735,Male,Bangalore,Tier2,CS,Networking,No,No,5.63,6.04,5.72,5.72,5.73,6.08,5.86,5.73,5.52,87.3,0,2,2.0,2,0,84.5,4.0,50.1,,1,Low,1,0,4.44,3
8736,Female,Delhi,Tier2,Civil,Networking,Yes,No,4.35,4.36,4.12,4.17,4.17,4.0,4.47,4.06,4.21,54.3,0,0,,1,1,51.0,1.5,34.4,34.0,0,Low,0,0,0.0,1
8737,Male,Hyderabad,Tier3,CS,Embedded,No,Yes,7.63,7.99,7.94,7.59,7.78,7.83,8.19,8.09,7.82,81.0,0,2,1.0,1,0,82.6,1.3,55.2,55.3,0,Mid,0,0,0.0,3
8738,Female,Bangalore,Tier1,ECE,Embedded,Yes,No,7.07,6.75,7.12,6.56,7.05,6.61,6.99,7.04,6.75,93.2,1,4,,4,1,91.0,4.0,49.8,63.5,1,Mid,1,0,9.17,2
8739,Female,Bangalore,Tier2,EE,AI,Yes,No,9.11,9.15,9.11,9.06,8.77,8.85,9.44,9.18,9.91,78.0,3,5,4.0,3,1,96.1,4.9,,81.6,1,High,1,1,18.08,0
8740,Female,Bangalore,Tier1,IT,AI,Yes,No,8.09,8.29,8.2,8.16,8.79,8.3,8.41,8.38,8.28,72.3,1,2,,1,0,66.5,2.5,56.3,51.2,0,High,1,0,18.11,3
8741,Male,Pune,Tier2,CS,AI,Yes,No,7.91,7.9,6.92,7.52,7.87,7.42,7.28,7.87,7.57,79.4,1,1,2.0,2,1,74.6,3.4,58.2,47.2,0,Mid,1,0,8.84,3
8742,Male,Pune,Tier2,ECE,AI,No,No,5.29,4.79,4.29,5.12,4.94,5.38,4.82,5.0,4.82,74.2,0,1,2.0,2,0,56.2,,49.9,61.4,0,Low,0,0,0.0,1
8743,Female,Bangalore,Tier2,CS,Networking,No,Yes,7.57,7.23,7.26,6.78,7.55,7.04,7.77,7.21,7.15,76.8,2,2,2.0,2,0,60.1,2.7,53.8,52.9,1,Mid,1,0,8.98,3
8744,Female,Chennai,Tier2,IT,AI,Yes,No,9.99,9.84,9.7,9.48,10.0,9.69,9.72,10.0,9.79,69.3,2,3,2.0,3,1,68.4,3.8,90.7,81.1,0,High,1,0,18.9,0
8745,Male,Mumbai,Tier1,ECE,Networking,Yes,No,7.41,7.96,7.3,7.69,7.12,7.27,7.5,7.75,7.6,76.8,1,2,0.0,2,0,,3.8,53.9,42.2,1,Mid,1,0,8.06,3
8746,Male,Ahmedabad,Tier3,IT,AI,Yes,No,6.24,6.39,6.43,6.02,5.99,5.95,6.03,6.18,6.19,68.6,0,3,2.0,1,0,60.4,3.0,49.7,62.7,0,Low,0,0,0.0,3
8747,Female,Mumbai,Tier2,CS,Embedded,Yes,No,9.26,9.07,9.5,8.92,9.71,9.27,9.42,9.03,9.36,73.4,3,3,2.0,3,1,80.1,4.5,81.9,67.4,0,High,1,0,18.76,0
8748,Male,Hyderabad,Tier1,CS,DataScience,No,No,8.07,9.15,9.38,8.02,8.49,8.78,8.01,8.66,8.51,84.7,2,2,2.0,3,1,68.5,3.9,69.5,68.5,1,High,1,0,22.4,0
8749,Female,Kolkata,Tier1,EE,Embedded,Yes,No,10.0,10.0,10.0,10.0,10.0,9.84,9.85,10.0,9.89,82.5,1,3,3.0,3,2,75.0,4.1,69.7,,1,High,1,0,18.84,0
8750,Male,Kolkata,Tier2,CS,DataScience,No,No,10.0,10.0,10.0,10.0,10.0,9.55,10.0,10.0,9.93,84.3,1,3,3.0,3,1,89.6,5.0,81.6,72.9,1,High,1,0,25.65,0
8751,Male,Ahmedabad,Tier2,CS,AI,No,No,7.09,7.37,7.59,7.39,7.53,7.44,7.58,7.63,7.45,60.8,1,2,2.0,2,1,,3.2,58.2,51.9,0,Mid,1,0,8.1,3
8752,Female,Hyderabad,Tier1,CS,AI,Yes,No,7.97,8.3,8.48,8.57,8.78,8.7,8.32,8.73,8.33,100.0,2,3,4.0,3,2,70.9,4.6,79.7,,0,High,1,0,18.5,0
8753,Female,Mumbai,Tier1,Mechanical,Networking,Yes,No,8.28,8.12,7.69,8.45,8.43,8.69,8.71,8.08,8.39,81.0,2,3,2.0,3,1,77.0,3.0,67.0,,1,High,1,0,18.37,0
8754,Female,Bangalore,Tier2,EE,Embedded,No,No,9.32,9.59,9.56,9.52,9.51,9.47,9.49,9.71,9.35,100.0,1,4,1.0,3,2,88.0,3.7,76.9,90.2,1,High,1,0,25.01,0
8755,Male,Kolkata,Tier2,Mechanical,Embedded,Yes,No,5.95,6.69,6.3,6.23,6.22,6.15,5.81,5.69,6.09,59.4,0,1,,1,1,49.8,1.9,29.1,39.4,0,Low,0,0,0.0,1
8756,Male,Bangalore,Tier3,Mechanical,AI,Yes,No,7.88,7.53,7.43,6.96,7.29,7.83,7.27,7.13,7.41,57.6,0,1,1.0,0,0,41.2,1.7,25.2,29.5,0,Mid,0,0,0.0,3
8757,Female,Kochi,Tier1,EE,Networking,No,Yes,8.51,8.52,8.14,8.43,8.15,8.77,9.05,8.65,8.52,71.7,2,3,2.0,3,1,72.8,4.0,64.9,77.0,1,High,1,0,22.73,0
8758,Female,Pune,Tier1,ECE,AI,Yes,Yes,10.0,10.0,10.0,9.87,10.0,10.0,10.0,10.0,10.0,76.0,2,4,3.0,3,0,83.3,4.8,90.0,62.6,1,High,1,0,25.84,0
8759,Female,Hyderabad,Tier1,IT,DataScience,No,No,6.84,6.15,7.0,7.59,7.1,6.69,7.29,7.71,7.16,81.4,1,4,2.0,3,1,81.6,5.0,79.8,82.1,0,Mid,1,0,8.87,2
8760,Male,Bangalore,Tier2,IT,Networking,Yes,No,6.06,5.71,6.24,6.47,6.23,6.73,7.04,6.3,6.39,80.2,1,1,1.0,2,0,69.0,2.5,,49.7,0,Low,0,0,0.0,3
8761,Male,Ahmedabad,Tier1,Civil,DataScience,Yes,No,7.81,8.12,7.99,7.93,7.9,7.96,8.37,8.73,8.16,84.8,2,4,3.0,3,1,98.4,4.3,55.4,75.8,1,High,1,0,22.54,0
8762,Male,Delhi,Tier2,CS,DataScience,No,No,6.44,5.52,5.72,5.78,6.66,6.12,6.25,6.03,6.07,61.3,1,2,,1,0,65.5,2.6,55.9,56.0,1,Low,0,0,0.0,3
8763,Male,Pune,Tier1,Civil,DataScience,No,No,5.73,5.33,5.43,5.17,5.65,5.62,5.81,5.78,5.63,81.3,0,2,1.0,3,0,68.7,2.7,43.1,49.5,0,Low,0,0,0.0,1
8764,Female,Hyderabad,Tier3,CS,DataScience,No,No,4.88,5.17,5.17,4.86,5.1,4.91,5.11,5.18,5.08,53.0,0,1,0.0,0,0,46.3,,24.4,30.0,1,Low,0,0,0.0,1
8765,Male,Bangalore,Tier2,Mechanical,DataScience,Yes,No,9.32,9.12,9.86,9.43,9.68,9.58,9.63,10.0,9.66,79.7,2,2,,2,1,77.0,4.4,,80.3,1,High,1,0,18.42,0
8766,Female,Hyderabad,Tier3,EE,Embedded,No,No,5.16,4.67,4.98,4.72,4.93,4.52,5.14,4.77,4.9,70.4,1,1,1.0,1,0,45.4,2.3,25.2,28.1,0,Low,0,0,0.0,1
8767,Female,Hyderabad,Tier2,CS,Embedded,Yes,No,7.8,8.33,7.57,8.2,8.03,8.39,8.0,7.75,7.88,75.0,1,1,2.0,1,0,54.5,3.9,54.3,55.3,0,Mid,1,0,8.68,3
8768,Male,Delhi,Tier2,CS,AI,No,No,9.82,9.91,9.8,9.82,10.0,10.0,9.65,10.0,9.94,84.3,1,4,3.0,3,1,86.3,5.0,78.2,80.9,1,High,1,0,25.95,0
8769,Female,Kochi,Tier2,IT,AI,Yes,No,8.79,7.88,8.19,8.46,8.45,8.16,8.7,9.32,8.51,74.6,0,2,2.0,3,0,66.2,3.4,61.5,54.0,0,High,1,0,18.61,3
8770,Female,Chennai,Tier1,Mechanical,AI,No,No,7.04,6.88,6.24,6.84,6.5,6.89,6.84,6.87,6.97,94.1,2,3,3.0,3,2,,2.6,62.2,69.9,1,Mid,1,0,12.32,2
8771,Male,Kolkata,Tier2,Mechanical,DataScience,No,No,6.66,7.27,7.41,6.95,7.33,7.19,7.65,7.65,7.22,100.0,2,3,2.0,3,2,85.6,4.0,,69.4,1,Mid,1,0,8.58,2
8772,Male,Bangalore,Tier1,EE,Networking,Yes,No,6.53,6.59,6.3,6.5,6.35,6.14,6.5,7.09,6.44,75.4,2,3,3.0,2,2,77.2,4.0,,78.6,1,Low,1,0,5.07,2
8773,Female,Jaipur,Tier1,Mechanical,Embedded,Yes,No,7.0,6.45,6.86,7.04,6.68,7.08,6.95,7.25,6.81,76.3,1,3,1.0,2,1,,2.8,54.4,49.3,0,Mid,1,0,8.05,3
8774,Male,Hyderabad,Tier1,ECE,Embedded,Yes,No,8.23,8.21,7.63,7.71,8.31,7.95,8.27,7.87,8.1,69.9,1,2,2.0,1,0,62.9,3.3,48.9,48.6,0,High,1,0,18.65,3
8775,Female,Delhi,Tier3,Mechanical,Embedded,No,Yes,6.11,6.3,6.49,6.31,5.8,6.05,6.3,6.52,6.23,57.3,1,0,1.0,0,0,50.6,1.3,23.4,34.3,1,Low,0,0,0.0,1
8776,Male,Kochi,Tier2,Civil,Embedded,No,No,7.44,7.52,7.62,7.4,7.61,6.66,7.97,7.75,7.51,77.7,1,3,3.0,3,3,88.3,3.7,,58.3,1,Mid,1,0,8.76,2
8777,Male,Kolkata,Tier3,IT,AI,Yes,Yes,6.3,6.39,5.77,7.02,6.51,5.92,6.44,6.76,6.52,68.0,0,0,0.0,1,0,46.4,2.0,32.2,31.9,1,Mid,0,0,0.0,1
8778,Female,Pune,Tier2,EE,DataScience,No,No,6.91,6.45,7.41,6.86,6.84,6.94,7.4,7.21,6.84,92.6,2,2,3.0,3,1,91.7,4.0,87.2,95.3,0,Mid,1,0,8.37,2
8779,Female,Ahmedabad,Tier2,Civil,DataScience,Yes,No,8.89,8.67,8.85,9.04,8.93,8.78,8.73,8.7,8.75,74.8,0,1,2.0,2,1,79.7,2.7,46.5,,1,High,1,0,18.26,0
8780,Female,Chennai,Tier2,Mechanical,AI,No,No,9.53,9.27,9.32,9.43,9.15,9.15,10.0,9.21,9.46,93.3,2,3,3.0,5,1,87.0,4.2,100.0,,0,High,1,0,18.34,0
8781,Female,Hyderabad,Tier2,EE,AI,Yes,No,8.99,8.18,9.25,8.67,8.88,9.31,9.09,9.0,8.87,94.1,3,3,3.0,2,1,78.1,5.0,74.6,,1,High,1,0,18.99,0
8782,Male,Kolkata,Tier3,Mechanical,Embedded,Yes,No,6.1,6.15,7.16,6.09,6.42,6.39,6.02,5.84,6.16,63.7,1,1,1.0,1,1,38.9,2.0,29.6,,0,Low,0,0,0.0,1
8783,Male,Chennai,Tier1,ECE,Embedded,Yes,No,8.26,8.2,8.11,8.72,8.41,8.78,8.23,8.86,8.49,89.4,3,2,3.0,4,1,76.1,3.9,74.8,68.0,1,High,1,0,22.68,0
8784,Female,Jaipur,Tier2,ECE,Networking,No,No,7.56,7.41,7.31,7.3,7.35,7.54,7.2,7.66,7.34,87.3,1,3,1.0,3,0,62.3,3.6,60.3,36.2,1,Mid,1,0,8.67,3
8785,Male,Hyderabad,Tier2,Mechanical,AI,Yes,No,6.48,6.81,7.12,7.29,6.89,6.85,7.46,7.11,6.89,74.2,1,1,1.0,2,1,53.8,,51.7,52.5,1,Mid,1,0,12.31,3
8786,Male,Delhi,Tier2,CS,DataScience,Yes,Yes,7.51,6.96,7.46,7.54,7.84,7.27,7.31,7.68,7.32,83.0,1,2,2.0,1,0,64.2,2.6,59.7,51.9,0,Mid,0,0,0.0,3
8787,Female,Chennai,Tier1,CS,DataScience,Yes,No,6.16,5.98,5.79,6.17,6.33,6.32,5.6,5.79,6.19,80.8,0,1,2.0,2,0,62.6,3.0,51.1,49.9,1,Low,0,0,0.0,3
8788,Male,Bangalore,Tier3,Civil,Embedded,Yes,No,6.96,7.6,7.59,7.65,7.33,7.63,7.2,8.02,7.42,69.0,1,2,2.0,2,0,73.0,2.8,48.8,58.7,0,Mid,1,0,8.29,3
8789,Female,Kochi,Tier2,ECE,Networking,No,No,8.59,8.31,8.7,8.86,8.37,9.0,8.28,9.12,8.56,100.0,2,3,3.0,3,0,89.9,4.3,59.0,68.1,1,High,1,0,22.73,0
8790,Male,Kolkata,Tier2,Civil,AI,Yes,No,6.99,7.14,6.77,7.26,7.44,7.45,7.25,7.15,7.15,82.0,1,2,3.0,1,1,56.5,2.9,53.5,45.9,0,Mid,1,0,10.48,3
8791,Male,Bangalore,Tier2,CS,Embedded,No,No,5.47,5.31,5.45,5.96,5.27,5.13,5.69,5.24,5.41,60.2,0,0,1.0,0,0,51.5,1.7,29.3,27.8,1,Low,0,0,0.0,1
8792,Female,Pune,Tier2,ECE,Embedded,Yes,No,10.0,9.98,10.0,10.0,9.9,10.0,10.0,10.0,9.98,93.5,2,4,3.0,2,2,,4.6,78.7,61.9,1,High,1,0,25.8,0
8793,Female,Kochi,Tier1,CS,AI,No,No,7.01,7.2,7.51,7.03,7.3,6.89,7.38,7.87,7.33,94.5,1,4,3.0,3,1,84.8,4.0,79.8,80.5,1,Mid,1,0,8.78,2
8794,Male,Pune,Tier2,IT,Networking,Yes,No,5.52,5.28,5.57,5.16,5.66,4.82,5.48,5.87,5.41,69.1,1,2,,3,0,81.0,4.0,56.5,44.3,0,Low,0,0,0.0,3
8795,Female,Delhi,Tier2,Mechanical,DataScience,Yes,No,5.22,5.02,5.3,5.79,5.46,5.3,5.83,5.54,5.47,67.7,1,2,2.0,2,1,,3.0,37.9,56.7,0,Low,0,0,0.0,1
8796,Male,Ahmedabad,Tier3,CS,AI,Yes,No,5.85,5.17,6.17,5.5,5.82,6.22,6.01,6.18,5.9,67.6,1,1,2.0,2,0,51.9,,45.8,66.0,0,Low,0,0,0.0,1
8797,Male,Jaipur,Tier1,ECE,Embedded,No,No,5.75,6.2,5.95,6.15,6.41,6.04,6.11,6.36,6.01,100.0,2,5,3.0,4,1,81.1,5.0,85.1,74.2,1,Low,1,0,5.94,2
8798,Female,Mumbai,Tier2,ECE,DataScience,No,No,7.71,7.27,7.86,8.19,7.64,8.04,7.85,7.61,7.74,76.8,0,2,,2,1,,4.2,58.7,59.7,1,Mid,1,0,8.51,3
8799,Male,Chennai,Tier2,CS,Networking,Yes,No,9.39,9.53,9.34,9.44,9.45,9.41,9.95,9.92,9.4,86.3,2,3,,1,1,87.6,4.4,73.1,73.0,1,High,1,0,25.04,0
8800,Male,Hyderabad,Tier1,IT,DataScience,Yes,No,6.31,6.9,5.92,6.24,6.6,6.6,6.57,6.61,6.52,79.7,1,3,2.0,2,1,66.0,3.5,55.3,47.3,1,Mid,1,0,8.36,3
8801,Female,Chennai,Tier3,EE,DataScience,Yes,No,6.74,6.85,6.79,7.1,7.11,7.39,6.84,7.08,7.12,83.1,1,2,2.0,1,1,61.9,2.3,44.0,50.0,1,Mid,1,0,10.13,3
8802,Male,Kolkata,Tier1,CS,AI,Yes,Yes,7.7,8.39,8.1,8.27,8.25,8.42,7.95,7.96,8.17,91.5,2,3,2.0,3,2,94.0,,70.7,87.8,0,High,1,0,18.4,0
8803,Male,Pune,Tier2,Mechanical,Embedded,No,No,8.54,8.95,8.13,8.12,8.4,8.74,8.31,8.8,8.42,71.2,1,2,,2,1,71.7,3.0,59.0,50.8,1,High,1,0,18.44,0
8804,Female,Kolkata,Tier3,ECE,Embedded,No,No,5.46,5.77,5.37,5.51,4.87,5.37,5.25,4.97,5.28,58.5,1,1,1.0,0,0,,1.9,29.0,33.6,0,Low,0,0,0.0,1
8805,Female,Kolkata,Tier2,EE,AI,No,No,7.49,8.04,7.92,7.67,7.6,7.65,7.4,7.62,7.89,73.0,1,3,2.0,2,0,76.3,2.8,47.8,42.6,1,Mid,1,0,12.17,3
8806,Female,Chennai,Tier3,EE,AI,Yes,No,4.0,4.36,4.0,4.06,4.0,4.0,4.05,4.0,4.15,62.3,0,1,1.0,1,1,53.5,1.9,29.7,30.3,0,Low,0,0,0.0,1
8807,Male,Hyderabad,Tier2,EE,Embedded,Yes,No,6.11,6.6,6.47,6.03,6.75,6.17,5.86,6.47,6.13,81.9,0,1,2.0,2,0,74.0,3.3,53.4,52.1,1,Low,0,0,0.0,3
8808,Female,Kolkata,Tier2,Mechanical,Networking,Yes,No,5.64,5.27,5.7,5.55,6.08,5.82,6.23,5.93,5.87,58.4,2,2,2.0,3,1,77.3,3.4,51.0,,0,Low,1,0,3.34,3
8809,Female,Mumbai,Tier1,IT,AI,No,No,6.71,7.11,6.95,7.36,7.45,7.2,7.96,7.42,7.1,79.6,0,3,2.0,2,2,74.3,4.1,86.2,77.6,1,Mid,1,0,8.59,2
8810,Male,Pune,Tier1,ECE,DataScience,Yes,No,9.06,9.43,9.99,9.69,9.56,9.16,9.24,9.52,9.46,81.1,2,4,2.0,2,1,79.2,4.6,75.4,78.4,0,High,1,0,18.03,0
8811,Male,Mumbai,Tier1,ECE,Networking,No,No,5.69,5.9,5.26,6.09,6.22,6.02,6.22,5.89,5.87,84.9,0,3,3.0,2,1,,3.9,69.9,94.0,1,Low,1,0,5.68,2
8812,Male,Delhi,Tier1,Mechanical,Networking,Yes,No,8.05,7.07,7.15,8.27,7.33,7.05,7.07,7.31,7.47,83.8,2,2,2.0,2,0,57.2,3.2,,62.3,1,Mid,1,0,12.27,3
8813,Male,Bangalore,Tier3,Civil,AI,No,No,6.22,5.78,6.04,5.75,5.78,6.04,5.56,4.93,5.81,61.7,1,0,0.0,0,0,37.8,1.2,26.6,35.1,1,Low,0,0,0.0,1
8814,Female,Ahmedabad,Tier1,Mechanical,DataScience,Yes,No,7.47,8.02,7.37,7.8,7.29,7.35,7.87,7.85,7.66,72.8,1,2,4.0,4,1,74.9,4.7,89.1,95.7,0,Mid,1,0,10.67,2
8815,Male,Pune,Tier2,CS,DataScience,No,Yes,5.63,5.96,5.32,5.38,5.35,5.24,5.98,5.47,5.5,72.9,0,2,2.0,2,0,,3.0,43.5,49.7,1,Low,0,0,0.0,1
8816,Male,Delhi,Tier2,CS,Embedded,Yes,No,8.41,8.3,8.24,8.35,8.51,9.12,8.08,9.03,8.45,79.1,1,1,2.0,2,1,60.7,3.3,55.2,54.2,1,High,1,0,22.71,0
8817,Male,Pune,Tier2,ECE,Networking,Yes,Yes,7.37,7.65,7.24,7.27,7.25,7.53,7.4,7.34,7.38,79.8,1,2,2.0,2,0,64.7,3.5,42.1,43.9,1,Mid,1,0,8.8,3
8818,Male,Hyderabad,Tier2,EE,AI,Yes,Yes,6.5,7.18,7.53,7.89,6.93,7.77,7.04,6.72,7.17,74.2,1,2,1.0,2,0,75.7,2.4,48.4,46.9,0,Mid,0,0,0.0,3
8819,Male,Kolkata,Tier2,CS,DataScience,Yes,No,5.91,6.2,5.73,6.23,6.45,5.69,6.25,5.8,5.95,68.7,1,2,2.0,1,1,73.2,2.4,61.0,42.8,1,Low,1,0,4.91,3
8820,Female,Kochi,Tier2,ECE,Embedded,Yes,No,4.93,4.81,5.66,5.4,5.6,5.5,5.55,5.81,5.43,86.8,2,3,3.0,3,2,,4.5,70.3,69.6,1,Low,1,0,6.46,2
8821,Male,Kolkata,Tier1,IT,AI,Yes,No,8.69,8.68,9.25,8.63,8.91,9.38,9.07,9.38,8.87,91.2,2,4,3.0,3,2,61.4,3.4,83.7,93.5,1,High,1,0,22.48,0
8822,Female,Jaipur,Tier3,ECE,Networking,No,No,4.75,4.9,4.67,4.85,4.84,4.78,4.77,4.14,4.68,57.1,0,0,0.0,0,0,36.3,2.6,26.4,27.7,0,Low,0,0,0.0,1
8823,Male,Delhi,Tier2,IT,Networking,Yes,No,10.0,9.65,10.0,10.0,10.0,9.94,10.0,10.0,9.9,78.0,2,3,3.0,1,1,74.6,,73.6,76.3,0,High,1,0,18.95,0
8824,Male,Hyderabad,Tier1,CS,Embedded,Yes,No,7.57,7.46,7.91,7.5,7.7,8.25,7.67,7.97,7.86,78.3,2,3,2.0,2,2,77.2,4.6,,,0,Mid,1,0,8.26,2
8825,Male,Jaipur,Tier2,IT,AI,No,Yes,4.02,4.0,4.0,4.0,4.12,4.0,4.39,4.0,4.03,62.1,1,1,1.0,0,0,38.2,,25.9,28.0,1,Low,0,0,0.0,1
8826,Female,Chennai,Tier2,CS,Networking,Yes,No,7.64,7.51,7.41,7.56,8.0,7.71,7.81,8.21,7.6,85.2,1,4,3.0,3,1,81.4,4.3,76.4,85.3,1,Mid,1,0,8.57,2
8827,Male,Mumbai,Tier2,ECE,DataScience,Yes,Yes,7.88,7.8,7.61,7.29,7.49,8.16,7.84,8.06,7.62,78.8,1,2,1.0,2,0,82.6,2.9,57.3,47.8,1,Mid,1,0,8.28,3
8828,Female,Hyderabad,Tier2,ECE,Networking,Yes,No,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.92,100.0,2,3,4.0,4,2,88.0,,71.7,90.7,0,High,1,0,18.12,0
8829,Male,Jaipur,Tier2,Mechanical,DataScience,Yes,No,8.16,8.73,7.6,8.42,8.34,8.13,8.44,8.36,8.37,81.3,1,2,2.0,1,0,57.7,2.9,58.6,54.0,0,High,1,0,18.23,3
8830,Male,Hyderabad,Tier1,Civil,Networking,Yes,No,9.69,9.52,9.25,9.76,9.53,9.48,10.0,9.69,9.61,72.9,1,5,2.0,2,1,87.9,4.5,74.6,73.4,1,High,1,0,25.88,0
8831,Female,Mumbai,Tier2,ECE,Networking,No,No,9.75,9.6,9.9,10.0,9.83,10.0,10.0,10.0,9.71,81.0,1,4,4.0,4,1,73.9,2.9,,69.0,0,High,1,0,18.74,0
8832,Male,Pune,Tier2,EE,Networking,No,No,6.33,6.83,6.55,6.88,7.1,7.29,6.92,6.59,6.83,70.5,0,2,2.0,2,1,,3.2,44.2,46.8,1,Mid,1,0,8.1,3
8833,Male,Mumbai,Tier2,IT,AI,Yes,No,8.23,7.78,8.21,8.53,8.49,7.68,7.7,8.4,8.02,74.9,1,2,1.0,2,0,56.1,1.7,59.6,60.1,1,High,1,0,18.05,3
8834,Male,Chennai,Tier2,Mechanical,Embedded,No,No,7.0,6.31,6.61,6.25,6.68,6.15,6.85,6.92,6.73,83.3,2,2,2.0,2,1,71.8,3.2,52.5,63.0,0,Mid,1,0,8.44,3
8835,Male,Hyderabad,Tier2,Civil,Networking,No,Yes,7.16,7.43,7.1,7.23,6.99,6.96,6.79,7.1,6.87,66.0,0,1,1.0,0,0,48.5,2.0,26.0,29.4,0,Mid,0,0,0.0,3
8836,Male,Hyderabad,Tier2,ECE,Embedded,No,No,8.82,8.71,9.65,8.55,9.03,8.95,8.82,9.15,9.02,89.7,2,3,3.0,2,1,84.5,4.0,79.6,80.0,0,High,1,0,18.64,0
8837,Male,Hyderabad,Tier2,Mechanical,Networking,No,No,6.7,7.22,7.44,6.81,7.17,7.05,7.5,6.86,7.08,54.4,1,2,2.0,1,0,65.7,2.8,58.3,58.5,1,Mid,1,0,10.47,3
8838,Male,Hyderabad,Tier2,CS,Networking,Yes,No,9.72,9.21,9.41,9.81,9.59,9.2,8.98,9.55,9.48,70.6,1,1,1.0,2,1,,3.5,56.1,46.2,0,High,1,0,18.65,0
8839,Male,Jaipur,Tier3,ECE,Networking,No,Yes,6.11,6.0,5.51,5.75,5.93,5.63,5.91,5.48,5.77,66.6,0,1,1.0,0,0,50.9,2.2,29.0,23.4,0,Low,0,0,0.0,1
8840,Male,Hyderabad,Tier1,ECE,Embedded,Yes,No,8.85,8.66,9.04,9.16,8.84,8.55,8.93,9.13,8.91,79.7,1,4,4.0,3,2,54.3,3.4,71.4,56.6,1,High,1,0,22.55,0
8841,Male,Hyderabad,Tier3,ECE,Embedded,Yes,No,6.25,6.34,6.36,7.01,6.66,6.44,6.63,7.13,6.47,81.8,2,2,1.0,1,1,72.9,3.6,43.7,56.3,1,Low,1,0,5.32,3
8842,Male,Kolkata,Tier3,ECE,Embedded,Yes,No,4.08,4.17,4.0,4.43,4.0,4.13,4.0,4.0,4.05,60.4,0,1,0.0,0,0,48.9,2.1,30.6,30.9,0,Low,0,0,0.0,1
8843,Male,Chennai,Tier2,IT,Embedded,No,No,9.55,10.0,10.0,9.84,10.0,10.0,10.0,10.0,10.0,90.9,2,3,3.0,4,1,91.1,,71.6,68.1,0,High,1,0,18.81,0
8844,Female,Ahmedabad,Tier3,CS,DataScience,Yes,No,5.93,5.91,5.73,6.13,5.68,5.71,5.62,5.68,5.79,65.8,1,1,,0,0,49.4,2.3,30.2,30.7,1,Low,0,0,0.0,1
